# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.8000000000000002,0.7,0.7
-0.04999999999999982,0.8000000000000002,0.7,0.7
-0.10000000000000009,0.8000000000000002,0.7,0.7
-0.1499999999999999,0.8000000000000002,0.7,0.7
-0.19999999999999996,0.8000000000000002,0.7,0.7
-0.24999999999999978,0.8000000000000002,0.7,0.7
-0.30000000000000004,0.8000000000000002,0.7,0.7
-0.34999999999999987,0.8000000000000002,0.7,0.7
-0.40000000000000013,0.8000000000000002,0.7,0.7
-0.44999999999999996,0.8000000000000002,0.7,0.7
-0.5000000000000002,0.8000000000000002,0.7,0.7
-0.55,0.8000000000000002,0.7,0.7
-0.6000000000000003,0.8000000000000002,0.7,0.7
-0.6500000000000001,0.8000000000000002,0.7,0.7
-0.7,0.8000000000000002,0.7,0.7
-0.7499999999999998,0.8000000000000002,0.7,0.7
-0.7999999999999996,0.8000000000000002,0.7,0.7
-0.8499999999999999,0.8000000000000002,0.7,0.7
-0.8999999999999997,0.8000000000000002,0.7,0.7
-0.95,0.8000000000000002,0.7,0.7
-0.9999999999999998,0.8000000000000002,0.7,0.7
-1.05,0.8000000000000002,0.7,0.7
-1.0999999999999999,0.8000000000000002,0.7,0.7
-1.1500000000000001,0.8000000000000002,0.7,0.7
-1.2,0.8000000000000002,0.7,0.7
-1.2500000000000002,0.8000000000000002,0.7,0.7
-1.3,0.8000000000000002,0.7,0.7
-1.3499999999999999,0.8000000000000002,0.7,0.7
-1.3999999999999997,0.8000000000000002,0.7,0.7
-1.45,0.8000000000000002,0.7,0.7
-1.4999999999999998,0.8000000000000002,0.7,0.7
-1.5499999999999996,0.8000000000000002,0.7,0.7
-1.5999999999999999,0.8000000000000002,0.7,0.7
-1.6499999999999997,0.8000000000000002,0.7,0.7
-1.7,0.8000000000000002,0.7,0.7
-1.7,0.7500000000000001,0.7,0.7
-1.7,0.7000000000000002,0.7,0.7
-1.7,0.6500000000000001,0.7,0.7
-1.7,0.6000000000000001,0.7,0.7
-1.7,0.55,0.7,0.7
-1.7,0.5000000000000001,0.7,0.7
-1.7,0.45000000000000007,0.7,0.7
-1.7,0.4000000000000001,0.7,0.7
-1.7,0.3500000000000001,0.7,0.7
-1.7,0.30000000000000004,0.7,0.7
